week,off_team_name,player_name,receptions_avg,average_passing_yards,average_rushing_yards,average_recieving_yards,passing_tds_avg,rushing_tds_avg,recieving_tds_avg,average_fantasy_points,week_fantasy_points,bust_percent,bust_points_average,boom_percent,boom_points_average,last_three_weeks_diff,redzone_carries,redzone_targets,completion_percentage,position_ranking,position,passing_target_percentage,rushing_percentage,def_team_name,epa_per_play,epa_per_rush,epa_per_pass,pass_percent,rush_percent,third_down_completion,fourth_down_completion,success_rate,home_team,win_percentage,allowed_passing_yards,allowed_rushing_yards,sack_yards,avg_epa_against,pass_epa_against,rush_epa_against,points_against,third_down_allowed,fourth_down_allowed,season
15,TEN,R.Tannehill,0.0,228.07692307692307,17.307692307692307,0.0,1.0769230769230769,0.4615384615384615,0.0,15.623076923076924,9.92,0.1538461538461538,-6.953076923076924,0.0,0.0,-4.32974358974359,11,0,0.6039387308533917,1.0,0,0.0,0.0445026178010471,PIT,0.0074995884912444,0.0223128587156077,-0.005507185364294,53.42624854819977,46.57375145180024,0.4104046242774566,0.6190476190476191,0.4897959183673469,1,0.6923076923076923,246.15384615384616,133.3846153846154,-17.384615384615383,0.045480020841093,0.0484413391396646,0.0415541588681296,24.307692307692307,0.3553113553113553,0.0811688311688311,2021
16,TEN,R.Tannehill,0.0,222.7142857142857,17.357142857142858,0.0,1.0,0.5,0.0,15.215714285714286,14.56,0.0714285714285714,-7.095714285714285,0.0714285714285714,6.264285714285714,-3.6890476190476207,13,0,0.6064908722109533,1.0,0,0.0,0.0496453900709219,SF,-0.0102948572480788,0.0206593382044926,-0.0381345648625067,52.822151224707135,47.17784877529287,0.4136125654450261,0.6086956521739131,0.4716981132075472,1,0.6428571428571429,231.92857142857144,105.64285714285714,-19.928571428571427,-0.0354869545392887,-0.0227034036224661,-0.0531474670775582,22.285714285714285,0.3646209386281588,0.0771929824561403,2021
17,TEN,R.Tannehill,0.0,221.8,17.666666666666668,0.0,1.0,0.4666666666666667,0.0,15.172,13.5,0.0666666666666666,-7.052,0.1333333333333333,6.167999999999999,-1.4986666666666686,13,0,0.6102661596958175,1.0,0,0.0,0.0515695067264574,MIA,-0.0063030833026691,0.011602798636225,-0.0221812358089439,53.15947843530592,46.84052156469408,0.4251207729468599,0.6086956521739131,0.4821428571428571,1,0.6666666666666666,251.0,102.13333333333334,-23.6,-0.0433300033422484,-0.0567501311848835,-0.0204137616460528,20.466666666666665,0.376984126984127,0.0845588235294117,2021
4,ARI,K.Murray,0.0,335.0,23.33333333333333,0.0,2.333333333333333,1.0,0.0,28.4,22.62,0.3333333333333333,-9.860000000000005,0.0,0.0,-7.105427357601002e-15,5,0,0.7289719626168224,1.0,0,0.0,0.1081081081081081,LA,0.1768746810856596,0.0586426250788497,0.2680822671480559,56.02094240837696,43.97905759162304,0.3548387096774194,1.0,0.6363636363636364,0,1.0,300.3333333333333,93.0,-25.33333333333333,-0.011717560042619,-0.0433326288758886,0.0569464175796383,18.666666666666668,0.3758620689655172,0.1081081081081081,2021
5,ARI,K.Murray,0.0,318.25,27.25,0.0,2.25,0.75,0.0,26.955,13.66,0.25,-8.415,0.5,6.375000000000004,-2.2016666666666644,6,0,0.7183098591549296,1.0,0,0.0,0.0925925925925925,SF,0.2132572566009946,0.1105823059523087,0.3005309646523775,53.78787878787878,46.21212121212121,0.4318181818181818,1.0,0.6428571428571429,0,1.0,234.5,112.0,-16.25,-0.034713612846113,-0.0499726797848269,-0.0134705980882956,25.5,0.3646209386281588,0.0771929824561403,2021
6,ARI,K.Murray,0.0,302.4,22.0,0.0,2.0,0.6,0.0,24.296,25.76,0.2,-10.636,0.4,9.034000000000002,-6.0226666666666695,7,0,0.7085714285714285,1.0,0,0.0,0.106060606060606,CLE,0.1726109215197372,0.0878556263322746,0.2426687666746917,54.51713395638629,45.4828660436137,0.4150943396226415,1.0,0.5882352941176471,0,1.0,240.0,73.4,-23.4,0.0128954581203897,0.0413352133609141,-0.0360537359955128,22.8,0.3520833333333333,0.109375,2021
7,ARI,K.Murray,0.0,290.1666666666667,19.33333333333333,0.0,2.333333333333333,0.5,0.0,24.540000000000003,21.44,0.3333333333333333,-8.440000000000003,0.3333333333333333,8.79,-3.860000000000003,11,0,0.6956521739130435,1.0,0,0.0,0.1272727272727272,HOU,0.1804693371049013,0.0693193976349859,0.2758956266010237,53.48837209302325,46.51162790697674,0.4477611940298507,1.0,0.6190476190476191,0,1.0,252.16666666666663,140.66666666666666,-10.0,0.0954106191945102,0.1152978377912594,0.0722691284637475,28.666666666666668,0.3841336116910229,0.0772200772200772,2021
8,ARI,K.Murray,0.0,286.0,18.0,0.0,2.4285714285714284,0.4285714285714285,0.0,24.09714285714286,9.06,0.1428571428571428,-10.43714285714286,0.2857142857142857,9.232857142857142,-3.8104761904761935,13,0,0.6861924686192469,1.0,0,0.0,0.1262626262626262,GB,0.1669558916084832,0.0449706208050266,0.2750441062444573,52.6431718061674,47.3568281938326,0.4556962025316455,1.0,0.64,0,1.0,229.42857142857144,120.14285714285714,-19.285714285714285,0.0133497435682806,-0.024286284239756,0.0695823968814648,20.857142857142858,0.3931623931623931,0.1142857142857142,2021
13,ARI,K.Murray,0.0,284.5,18.375,0.0,2.125,0.375,0.0,22.2175,30.82,0.25,-10.857500000000002,0.25,11.1125,-3.4641666666666677,17,0,0.6788321167883211,1.0,0,0.0,0.0993377483443708,CHI,0.1020754304272103,-0.0087014469515433,0.195268676476003,54.107648725212464,45.892351274787536,0.4427480916030534,0.6923076923076923,0.5609756097560976,0,0.8181818181818182,231.1818181818182,117.8181818181818,-22.09090909090909,0.0318131344672136,0.0510953562778071,0.0073889868404618,23.09090909090909,0.3263598326359833,0.1071428571428571,2021
14,ARI,K.Murray,0.0,266.55555555555554,22.88888888888889,0.0,2.111111111111111,0.5555555555555556,0.0,23.17333333333333,17.42,0.2222222222222222,-11.813333333333333,0.3333333333333333,9.320000000000002,-2.7333333333333307,23,0,0.6793103448275862,1.0,0,0.0,0.1081081081081081,LA,0.1048112529854391,-0.008984787165281,0.2067655732219981,52.63852242744064,47.361477572559366,0.4436619718309859,0.6666666666666666,0.5777777777777777,0,0.8333333333333334,255.41666666666663,101.08333333333331,-18.75,-0.0236257988137933,0.0209068097081376,-0.0914368163358246,20.5,0.3758620689655172,0.1081081081081081,2021
15,ARI,K.Murray,0.0,278.2,26.7,0.0,1.9,0.5,0.0,22.598000000000003,12.58,0.2,-11.238000000000005,0.3,9.895333333333332,-3.498000000000001,23,0,0.6676384839650146,1.0,0,0.0,0.1085714285714285,DET,0.089739059820638,-0.0170610570008457,0.17933647326148,54.26170468187274,45.73829531812726,0.4522292993630573,0.631578947368421,0.5714285714285714,0,0.7692307692307693,253.6153846153846,134.6153846153846,-11.76923076923077,0.1120930979225772,0.2093636268135115,0.006716691624065,26.307692307692307,0.3608695652173913,0.1209677419354838,2021
16,ARI,K.Murray,0.0,276.27272727272725,24.545454545454547,0.0,1.818181818181818,0.4545454545454545,0.0,21.687272727272727,21.200000000000003,0.2727272727272727,-9.920606060606062,0.2727272727272727,10.806060606060608,-1.413939393939394,24,0,0.6511627906976745,1.0,0,0.0,0.1111111111111111,IND,0.0665762176069446,-0.0198821372528985,0.1350151959028125,55.73951434878587,44.260485651214125,0.4534883720930232,0.5909090909090909,0.5471698113207547,0,0.7142857142857143,242.42857142857144,106.78571428571428,-14.5,-0.0104364277351343,0.0235675134569917,-0.0630346690957644,21.0,0.3709327548806941,0.1282051282051282,2021
17,ARI,K.Murray,0.0,273.6666666666667,28.666666666666668,0.0,1.75,0.4166666666666667,0.0,21.646666666666665,22.92,0.25,-9.879999999999995,0.25,10.84666666666667,-4.579999999999998,24,0,0.6488372093023256,1.0,0,0.0,0.1131105398457583,DAL,0.0673349080849027,-0.0006879684054584,0.1196408537780455,56.49484536082474,43.50515463917526,0.4540540540540541,0.56,0.5263157894736842,0,0.6666666666666666,253.9333333333333,106.46666666666668,-17.4,-0.1402564183387147,-0.2063890212651441,-0.0315007794221299,19.666666666666668,0.3444444444444444,0.1083916083916083,2021
4,LV,D.Carr,0.0,401.0,4.333333333333333,0.0,2.0,0.0,0.0,23.14,14.44,0.0,0.0,0.0,0.0,3.552713678800501e-15,3,0,0.6197183098591549,1.0,0,0.0,0.0666666666666666,LAC,0.0506327020077773,-0.2691756691161688,0.2290765032870806,64.25339366515837,35.74660633484163,0.4651162790697674,0.3333333333333333,0.5,1,1.0,208.0,162.33333333333334,-9.0,0.0629380859728653,0.0994260561403437,0.0222073285766103,20.0,0.4404255319148936,0.1260869565217391,2021
5,LV,D.Carr,0.0,349.75,4.75,0.0,2.0,0.0,0.0,20.965,7.24,0.25,-6.525,0.0,0.0,-1.0116666666666667,4,0,0.6055555555555555,1.0,0,0.0,0.0659340659340659,CHI,-0.0273797987369243,-0.2758217038909767,0.1090478370413125,64.98194945848375,35.018050541516246,0.4285714285714285,0.3333333333333333,0.4375,1,0.75,254.25,108.75,-29.5,-0.0295822277691112,0.0139859958719046,-0.0868189137288773,22.75,0.3263598326359833,0.1071428571428571,2021
6,LV,D.Carr,0.0,321.0,5.8,0.0,1.6,0.0,0.0,18.22,21.54,0.2,-10.980000000000002,0.0,0.0,-3.913333333333336,4,0,0.5981735159817352,1.0,0,0.0,0.073394495412844,DEN,-0.0464267205020951,-0.2230581786001272,0.0498416097409081,64.79289940828401,35.20710059171598,0.4142857142857143,0.3333333333333333,0.4,1,0.6,222.8,84.8,-15.8,-0.0938716152393858,-0.106505669130368,-0.0736116008916846,15.2,0.3796680497925311,0.108,2021
7,LV,D.Carr,0.0,324.3333333333333,4.666666666666667,0.0,1.6666666666666667,0.0,0.0,18.773333333333333,19.02,0.1666666666666666,-11.533333333333331,0.0,0.0,-4.366666666666667,4,0,0.6008064516129032,1.0,0,0.0,0.0687022900763358,PHI,0.0036931297561769,-0.1869970084656288,0.1125454169911244,63.75321336760925,36.24678663239074,0.4074074074074074,0.3333333333333333,0.4782608695652174,1,0.6666666666666666,213.66666666666663,133.16666666666666,-12.0,0.0511595393109587,0.0847929236844435,0.0122355102045663,24.0,0.406,0.1031746031746031,2021
9,LV,D.Carr,0.0,324.1428571428572,4.142857142857143,0.0,1.7142857142857142,0.0,0.0,18.808571428571437,10.34,0.1428571428571428,-11.568571428571431,0.0,0.0,-2.8752380952381014,4,0,0.6382978723404256,1.0,0,0.0,0.0573248407643312,NYG,0.0422129406426554,-0.1638073820156421,0.1655243746425123,62.52771618625277,37.472283813747225,0.4,0.4,0.5185185185185185,1,0.7142857142857143,250.75,121.375,-13.75,0.0530418627675983,0.0904068507219877,0.0012793565188569,24.25,0.3501006036217304,0.1018181818181818,2021
10,LV,D.Carr,0.0,320.625,4.25,0.0,1.625,0.0,0.0,17.75,18.24,0.25,-8.96,0.25,6.340000000000002,-0.7833333333333314,5,0,0.6382978723404256,1.0,0,0.0,0.0568181818181818,KC,0.0294593551673501,-0.1233804315244982,0.1173422325151629,63.51351351351351,36.48648648648648,0.392156862745098,0.4545454545454545,0.5161290322580645,1,0.625,263.0,121.22222222222224,-10.444444444444445,0.1348699613612223,0.1989989672144192,0.0483241791257131,24.55555555555556,0.4159132007233273,0.1487603305785124,2021
11,LV,D.Carr,0.0,314.0,5.777777777777778,0.0,1.6666666666666667,0.0,0.0,17.804444444444446,8.6,0.2222222222222222,-9.014444444444448,0.2222222222222222,6.285555555555556,-1.9377777777777787,6,0,0.6420765027322405,1.0,0,0.0,0.053475935828877,CIN,0.0116960767100828,-0.1253997532861223,0.0877324193970537,64.32337434094903,35.67662565905096,0.3693693693693693,0.4615384615384615,0.5142857142857142,1,0.5555555555555556,271.55555555555554,100.88888888888889,-15.444444444444445,-0.018239438489813,-0.0048298993870306,-0.0420641535947566,21.22222222222222,0.3694915254237288,0.0784313725490196,2021
12,LV,D.Carr,0.0,304.1,5.2,0.0,1.6,0.0,0.0,16.884,21.02,0.3,-8.157333333333334,0.2,7.206000000000001,-4.490666666666668,6,0,0.6430379746835443,1.0,0,0.0,0.048780487804878,DAL,-0.002516379850842,-0.1336620664806019,0.0710614599206595,64.12337662337663,35.87662337662338,0.3559322033898305,0.4615384615384615,0.5,1,0.5,263.9,102.1,-17.2,-0.0709341980572879,-0.095735634724929,-0.0295613978762901,20.8,0.3444444444444444,0.1083916083916083,2021
13,LV,D.Carr,0.0,310.3636363636364,6.636363636363637,0.0,1.5454545454545454,0.0,0.0,17.26,12.36,0.2727272727272727,-8.533333333333337,0.1818181818181818,6.83,-1.3066666666666684,6,0,0.6361556064073226,1.0,0,0.0,0.042016806722689,WAS,0.0023313328851297,-0.1249371531432187,0.0770194115402638,63.150289017341045,36.84971098265896,0.3435114503816794,0.4615384615384615,0.4878048780487805,1,0.5454545454545454,273.27272727272725,87.0,-10.363636363636363,0.0931121124817318,0.186414427229887,-0.0684028189310408,25.454545454545453,0.3975903614457831,0.1129032258064516,2021
14,LV,D.Carr,0.0,305.25,8.083333333333334,0.0,1.4166666666666667,0.0,0.0,16.851666666666667,10.52,0.25,-8.125,0.1666666666666666,7.238333333333335,-2.8583333333333343,6,0,0.6401673640167364,1.0,0,0.0,0.0396825396825396,KC,-0.0004940494573866,-0.1195938608569025,0.0676361652356696,63.81842456608812,36.18157543391188,0.3381294964028777,0.4615384615384615,0.4772727272727273,1,0.5,258.4166666666667,114.75,-11.25,0.0607206832583385,0.0812755504768669,0.0299958120501548,21.08333333333333,0.4159132007233273,0.1487603305785124,2021
15,LV,D.Carr,0.0,302.0,7.461538461538462,0.0,1.3846153846153846,0.0,0.0,16.364615384615384,10.14,0.2307692307692307,-7.637948717948717,0.1538461538461538,7.725384615384618,-1.731282051282049,6,0,0.6432637571157496,1.0,0,0.0,0.0378787878787878,CLE,-0.0264645610619626,-0.1386464184174949,0.0345658818829257,65.06172839506172,34.93827160493827,0.34,0.5,0.4583333333333333,1,0.4615384615384615,228.15384615384616,102.0,-16.923076923076923,0.0091122077502109,0.0265185911301117,-0.0159507809771779,22.23076923076923,0.3520833333333333,0.109375,2021
16,LV,D.Carr,0.0,297.2857142857143,7.428571428571429,0.0,1.3571428571428572,0.0,0.0,15.92,8.540000000000001,0.1428571428571428,-8.0,0.1428571428571428,8.170000000000002,-4.913333333333332,8,0,0.6431095406360424,1.0,0,0.0,0.0416666666666666,DEN,-0.0251526062125615,-0.1257135360288186,0.0302473242134855,64.75972540045767,35.24027459954233,0.3496932515337423,0.5333333333333333,0.4423076923076923,1,0.5,226.7142857142857,106.07142857142856,-15.357142857142858,-0.0216534493079577,-0.0505153026685772,0.02239885318983,16.5,0.3796680497925311,0.108,2021
17,LV,D.Carr,0.0,290.8666666666667,7.266666666666667,0.0,1.3333333333333333,0.0,0.0,15.428,10.2,0.2,-7.301333333333335,0.2,7.812,-5.694666666666668,8,0,0.6475548060708263,1.0,0,0.0,0.0403726708074534,IND,-0.0297568325751448,-0.1141159691312577,0.0198059876891917,63.28708644610459,36.71291355389541,0.3620689655172414,0.5625,0.4464285714285714,1,0.5333333333333333,242.6,108.53333333333332,-13.533333333333331,-0.0042798455674115,0.0170030433725613,-0.0377762105468005,20.666666666666668,0.3709327548806941,0.1282051282051282,2021
4,BAL,L.Jackson,0.0,253.66666666666663,83.66666666666667,0.0,1.0,0.6666666666666666,0.0,23.180000000000003,19.44,0.0,0.0,0.3333333333333333,9.080000000000002,0.0,5,0,0.5578947368421052,1.0,0,0.0,0.25,DEN,0.0921336670458194,0.0711142677915122,0.1129270512543814,50.0,50.0,0.303030303030303,0.75,0.5,0,0.6666666666666666,181.66666666666663,58.0,-19.33333333333333,-0.2673779462104697,-0.345759328889529,-0.0805967789752646,8.666666666666666,0.3796680497925311,0.108,2021
5,BAL,L.Jackson,0.0,269.25,69.75,0.0,1.0,0.5,0.0,22.245,41.88,0.0,0.0,0.25,10.015000000000004,1.4149999999999991,6,0,0.5555555555555556,1.0,0,0.0,0.2385321100917431,IND,0.0948056385366091,0.0266779807094791,0.1572986780472096,51.92307692307693,48.07692307692308,0.34,0.75,0.5333333333333333,0,0.75,229.75,114.5,-15.25,0.0621025060670057,0.2113055072034373,-0.0996502802117426,24.25,0.3709327548806941,0.1282051282051282,2021
6,BAL,L.Jackson,0.0,303.8,68.2,0.0,1.6,0.4,0.0,26.172000000000004,11.78,0.6,-7.265333333333337,0.4,10.897999999999996,0.6946666666666594,10,0,0.6153846153846154,1.0,0,0.0,0.2598425196850393,LAC,0.1538530943597183,-0.0010676365027889,0.2816408158621254,54.65465465465466,45.34534534534534,0.3448275862068966,0.75,0.5555555555555556,0,0.8,215.2,151.4,-12.4,0.0348577764720551,0.0323990426947153,0.0377441161237149,23.2,0.4404255319148936,0.1260869565217391,2021
7,BAL,L.Jackson,0.0,281.0,65.33333333333333,0.0,1.5,0.3333333333333333,0.0,23.77333333333333,23.08,0.1666666666666666,-11.993333333333329,0.3333333333333333,13.29666666666667,0.5933333333333337,11,0,0.6179245283018868,1.0,0,0.0,0.2389937106918239,CIN,0.1361497367487776,0.035146278474944,0.2244667703118882,53.1328320802005,46.8671679197995,0.3768115942028985,0.75,0.5714285714285714,0,0.8333333333333334,254.16666666666663,89.83333333333333,-17.166666666666668,-0.0484565499406081,-0.0071654410158321,-0.1236981262035333,17.5,0.3694915254237288,0.0784313725490196,2021
9,BAL,L.Jackson,0.0,277.57142857142856,68.57142857142857,0.0,1.4285714285714286,0.2857142857142857,0.0,23.674285714285716,30.64,0.1428571428571428,-11.894285714285711,0.2857142857142857,13.395714285714288,1.9057142857142857,12,0,0.5887096774193549,1.0,0,0.0,0.2485875706214689,MIN,0.0933636030990969,0.0484882127951385,0.1295819299192207,55.1063829787234,44.8936170212766,0.3647058823529411,0.5,0.56,0,0.7142857142857143,267.1428571428572,121.0,-23.0,-0.0605394458010515,-0.1122350387454833,0.0140378030368173,21.571428571428573,0.3333333333333333,0.0981818181818181,2021
10,BAL,L.Jackson,0.0,276.125,75.0,0.0,1.625,0.25,0.0,24.545,15.42,0.25,-9.655,0.375,10.381666666666666,-2.7116666666666696,15,0,0.5924657534246576,1.0,0,0.0,0.2641509433962264,MIA,0.0885015613072864,0.0693394908010143,0.1045128215625271,54.20393559928444,45.796064400715565,0.37,0.6363636363636364,0.5862068965517241,0,0.75,287.77777777777777,110.55555555555556,-15.77777777777778,0.0775639669048492,0.1484583940424934,-0.0397340852683437,26.666666666666668,0.376984126984127,0.0845588235294117,2021
12,BAL,L.Jackson,0.0,271.8888888888889,71.0,0.0,1.5555555555555556,0.2222222222222222,0.0,23.531111111111112,9.400000000000002,0.2222222222222222,-9.931111111111113,0.3333333333333333,11.395555555555555,-0.4844444444444455,15,0,0.5905044510385756,1.0,0,0.0,0.2319391634980988,CLE,0.0311769484833251,0.0466447892600284,0.0188912936997457,55.55555555555556,44.44444444444444,0.3538461538461538,0.6666666666666666,0.5555555555555556,0,0.7,228.54545454545453,98.0,-17.636363636363637,0.0311478743315065,0.0522768434634665,-5.036915240311593e-05,22.818181818181817,0.3520833333333333,0.109375,2021
13,BAL,L.Jackson,0.0,261.2,70.7,0.0,1.5,0.2,0.0,22.118,17.62,0.3,-9.918,0.3,12.808666666666666,-3.631333333333334,15,0,0.5902964959568733,1.0,0,0.0,0.2382550335570469,PIT,0.0128592211932094,0.0393205186741724,-0.0088542358306428,54.63917525773196,45.36082474226804,0.3655172413793103,0.6923076923076923,0.525,0,0.7272727272727273,249.0,125.9090909090909,-17.454545454545453,0.050686310984017,0.0793698955696043,0.0119783594671344,23.727272727272727,0.3553113553113553,0.0811688311688311,2021
14,BAL,L.Jackson,0.0,260.45454545454544,69.27272727272727,0.0,1.4545454545454546,0.1818181818181818,0.0,21.70909090909091,1.1800000000000002,0.2727272727272727,-9.50909090909091,0.2727272727272727,13.217575757575757,-7.562424242424244,17,0,0.5817307692307693,1.0,0,0.0,0.2375,CLE,0.0147426748283439,0.0400075097974804,-0.0054253496155654,55.43735224586288,44.56264775413711,0.3788819875776397,0.6923076923076923,0.5348837209302325,0,0.6666666666666666,223.25,101.75,-17.0,0.0114060936957458,0.0213721346390273,-0.0025599228642269,22.25,0.3520833333333333,0.109375,2021
11,CHI,A.Dalton,0.0,90.0,12.666666666666666,0.0,0.3333333333333333,0.0,0.0,4.866666666666667,16.04,0.0,0.0,0.0,0.0,0.0,1,0,0.6851851851851852,2.0,0,0.0,0.0,BAL,-0.1156936239770967,-0.0024221327620711,-0.2247067884547153,50.75471698113208,49.24528301886792,0.3490566037735849,0.2727272727272727,0.3235294117647059,0,0.3333333333333333,297.3333333333333,87.0,-15.22222222222222,0.0540482816041003,0.1242176864246506,-0.076428881954112,22.77777777777778,0.3254817987152034,0.1050724637681159,2021
12,CHI,A.Dalton,0.0,117.75,9.5,0.0,0.75,0.0,0.0,7.66,15.78,0.25,-7.34,0.25,8.379999999999999,0.706666666666667,1,0,0.6075949367088608,2.0,0,0.0,0.0,DET,-0.1181873577295892,-0.0139418765893041,-0.213458062347863,52.21088435374149,47.7891156462585,0.3333333333333333,0.3571428571428571,0.3421052631578947,0,0.3,246.6,139.5,-12.7,0.1085168682257351,0.2079172489713769,0.0047212325491635,26.1,0.3608695652173913,0.1209677419354838,2021
13,CHI,A.Dalton,0.0,157.6,9.8,0.0,0.8,0.0,0.0,9.284,11.76,0.2,-8.964,0.4,6.625999999999999,1.4293333333333322,4,0,0.6050420168067226,1.0,0,0.0,0.0,ARI,-0.0998082066857814,-0.0387600978196918,-0.1535376826176322,53.05810397553516,46.94189602446483,0.3410852713178294,0.3571428571428571,0.3414634146341463,0,0.3636363636363636,209.54545454545453,111.54545454545456,-16.0,-0.1422479859619506,-0.1961208716666434,-0.060495357849771,17.09090909090909,0.3634577603143418,0.1240310077519379,2021
